id,manufacturer,model,category,file,hasDatasheet,datasheetUrl,ecosystemBrand
"sma-sb-5.0","SMA","Sunny Boy 5.0-US","string_inverter","equipment-db.ts","yes","https://www.sma-america.com/products/solarinverters/sunny-boy-us.html","sma"
"sma-sb-10.0","SMA","Sunny Boy 10.0-US","string_inverter","equipment-db.ts","yes","https://www.sma-america.com/products/solarinverters/sunny-boy-us.html","sma"
"fronius-primo-5.0","Fronius","Primo 5.0-1","string_inverter","equipment-db.ts","yes","https://www.fronius.com/en-us/usa/photovoltaics/products/all-products/inverters/fronius-primo","fronius"
"fronius-primo-8.2","Fronius","Primo 8.2-1","string_inverter","equipment-db.ts","yes","https://www.fronius.com/en-us/usa/photovoltaics/products/all-products/inverters/fronius-primo","fronius"
"fronius-primo-10.0","Fronius","Primo 10.0-1","string_inverter","equipment-db.ts","yes","https://www.fronius.com/en-us/usa/photovoltaics/products/all-products/inverters/fronius-primo","fronius"
"sungrow-sg5rs","Sungrow","SG5RS","string_inverter","equipment-db.ts","yes","https://www.sungrowpower.com/products/inverter/sg5rs","sungrow"
"sungrow-sg7.6rs","Sungrow","SG7.6RS","string_inverter","equipment-db.ts","yes","https://www.sungrowpower.com/products/inverter/sg7.6rs","sungrow"
"sungrow-sg15rs","Sungrow","SG15RS","string_inverter","equipment-db.ts","yes","https://www.sungrowpower.com/products/inverter/sg15rs","sungrow"
"goodwe-gw5000-ns","GoodWe","GW5000-NS","string_inverter","equipment-db.ts","yes","https://www.goodwe.com/products/inverter/gw5000-ns","goodwe"
"goodwe-gw10k-ms","GoodWe","GW10K-MS","string_inverter","equipment-db.ts","yes","https://www.goodwe.com/products/inverter/gw10k-ms","goodwe"
"ecoflow-power-ocean-5kw","EcoFlow","PowerOcean 5kW Hybrid","string_inverter","equipment-db.ts","yes","https://us.ecoflow.com/products/powerocean","ecoflow"
"ecoflow-power-ocean-10kw","EcoFlow","PowerOcean 10kW Hybrid","string_inverter","equipment-db.ts","yes","https://us.ecoflow.com/products/powerocean","ecoflow"
"ecoflow-power-ocean-20kw","EcoFlow","PowerOcean Pro 20kW Hybrid","string_inverter","equipment-db.ts","yes","https://us.ecoflow.com/products/powerocean-pro","ecoflow"
"solark-8k-2p","Sol-Ark","8K-2P","string_inverter","equipment-db.ts","yes","https://www.sol-ark.com/wp-content/uploads/2024/06/SK150-0005-002-8K-2P-N-EN-Datasheet.pdf","sol-ark"
"solark-12k-2p","Sol-Ark","12K-2P","string_inverter","equipment-db.ts","yes","https://www.sol-ark.com/wp-content/uploads/2024/06/SK150-0003-002-12K-2P-N-EN-Datasheet.pdf","sol-ark"
"solark-15k-2p","Sol-Ark","15K-2P","string_inverter","equipment-db.ts","yes","https://www.sol-ark.com/wp-content/uploads/2024/06/SK150-0001-002-15K-2P-N-EN-Datasheet.pdf","sol-ark"
"solark-30k-3p-208v","Sol-Ark","30K-3P-208V","string_inverter","equipment-db.ts","yes","https://www.sol-ark.com/wp-content/uploads/2024/05/SK150-0017-004_30K-3P-208V-datasheet.pdf","sol-ark"
"enphase-iq8plus","Enphase","IQ8+","microinverter","equipment-db.ts","yes","https://enphase.com/store/microinverters/iq8-series","enphase"
"enphase-iq8m","Enphase","IQ8M","microinverter","equipment-db.ts","yes","https://enphase.com/store/microinverters/iq8-series","enphase"
"enphase-iq8h","Enphase","IQ8H","microinverter","equipment-db.ts","yes","https://enphase.com/store/microinverters/iq8-series","enphase"
"apsystems-ds3s","APsystems","DS3-S","microinverter","equipment-db.ts","yes","https://usa.apsystems.com/products/ds3/","apsystems"
"apsystems-ds3l","APsystems","DS3-L","microinverter","equipment-db.ts","yes","https://usa.apsystems.com/products/ds3/","apsystems"
"apsystems-ds3","APsystems","DS3","microinverter","equipment-db.ts","yes","https://usa.apsystems.com/products/ds3/","apsystems"
"hoymiles-hm800","Hoymiles","HM-800","microinverter","equipment-db.ts","yes","https://www.hoymiles.com/products/microinverter/hm-series/","hoymiles"
"enphase-iq8a","Enphase","IQ8A","microinverter","equipment-db.ts","yes","https://enphase.com/store/microinverters/iq8-series","enphase"
"enphase-iq8ac","Enphase","IQ8AC","microinverter","equipment-db.ts","yes","https://enphase.com/store/microinverters/iq8-series","enphase"
"apsystems-ez1-m","APsystems","EZ1-M","microinverter","equipment-db.ts","yes","https://usa.apsystems.com/products/ez1/","apsystems"
"hoymiles-hms-800w-2t","Hoymiles","HMS-800W-2T","microinverter","equipment-db.ts","yes","https://www.hoymiles.com/products/microinverter/hms-series/","hoymiles"
"se-p401","SolarEdge","P401","optimizer","equipment-db.ts","yes","https://www.solaredge.com/sites/default/files/se-p-series-add-on-power-optimizer-datasheet.pdf","solaredge"
"se-p505","SolarEdge","P505","optimizer","equipment-db.ts","yes","https://www.solaredge.com/sites/default/files/se-p-series-add-on-power-optimizer-datasheet.pdf","solaredge"
"tigo-ts4-a-o","Tigo","TS4-A-O","optimizer","equipment-db.ts","yes","https://www.tigoenergy.com/ts4",""
"se-p320","SolarEdge","P320","optimizer","equipment-db.ts","yes","https://www.solaredge.com/sites/default/files/se-p-series-add-on-power-optimizer-datasheet.pdf","solaredge"
"se-p730","SolarEdge","P730","optimizer","equipment-db.ts","yes","https://www.solaredge.com/sites/default/files/se-p-series-add-on-power-optimizer-datasheet.pdf","solaredge"
"se-p850","SolarEdge","P850","optimizer","equipment-db.ts","yes","https://www.solaredge.com/sites/default/files/se-p-series-add-on-power-optimizer-datasheet.pdf","solaredge"
"tigo-ts4-a-2o","Tigo","TS4-A-2O","optimizer","equipment-db.ts","yes","https://www.tigoenergy.com/ts4",""
"ironridge-xr100","IronRidge","XR100 Rail System","racking","equipment-db.ts","yes","https://ironridge.com/roof-mount/xr-rail/",""
"unirac-solarmount","Unirac","SolarMount","racking","equipment-db.ts","yes","https://unirac.com/products/solarmount/",""
"snapnrack-100","SnapNrack","Series 100","racking","equipment-db.ts","yes","https://snapnrack.com/products/series-100/",""
"quickmount-classic","QuickMount PV","Classic Mount","racking","equipment-db.ts","yes","https://quickmountpv.com/products/classic-mount/",""
"esdec-flatfix","Esdec","FlatFix Fusion","racking","equipment-db.ts","yes","https://esdec.com/products/flatfix-fusion/",""
"s5-pvkit","S-5!","PVKIT 2.0","racking","equipment-db.ts","yes","https://www.s-5.com/products/pvkit/",""
"rooftech-mini","Roof Tech","RT-MINI Rail-Less","racking","equipment-db.ts","yes","https://www.roof-tech.com/rt-mini",""
"tesla-powerwall-3","Tesla","Powerwall 3","battery","equipment-db.ts","yes","https://energylibrary.tesla.com/docs/Public/EnergyStorage/Powerwall/3/Datasheet/en-us/Powerwall-3-Datasheet.pdf","tesla"
"enphase-iq-battery-5p","Enphase","IQ Battery 5P","battery","equipment-db.ts","yes","https://assets.ctfassets.net/k6ot5nj1c6f9/2nqAdKtPMi5IirhnfQMeH3/58f82b1f4342baee1df92a71a6fe0b5b/IQ_Battery-5P-DSH-00010-2.0-EN-US-2023-07-26__1_.pdf","enphase"
"enphase-iq-battery-10t","Enphase","IQ Battery 10T","battery","equipment-db.ts","yes","https://enphase.com/sites/default/files/2021-10/IQ-Battery-10T-DS-EN-US-10-19-2021.pdf","enphase"
"generac-pwrcell-9","Generac","PWRcell 9 kWh","battery","equipment-db.ts","no","","generac"
"franklin-apower-15","Franklin Electric","aPower 15.0","battery","equipment-db.ts","no","",""
"solaredge-home-battery-10","SolarEdge","Home Battery 10 kWh","battery","equipment-db.ts","yes","https://krannich-solar.com/fileadmin/user_upload/US/Datasheets/Inverters/SolarEdge/se-solaredge-home-battery-made-in-the-usa-datasheet-nam.pdf","solaredge"
"enphase-iq-battery-3t","Enphase","IQ Battery 3T","battery","equipment-db.ts","yes","https://enphase.com/sites/default/files/2021-10/IQ-Battery-3T-DS-EN-US-10-19-2021.pdf","enphase"
"tesla-powerwall-2","Tesla","Powerwall 2","battery","equipment-db.ts","yes","https://energylibrary.tesla.com/docs/Public/EnergyStorage/Powerwall/2/Datasheet/en-us/Powerwall-2-Datasheet.pdf","tesla"
"generac-pwrcell-17","Generac","PWRcell 17 kWh","battery","equipment-db.ts","no","","generac"
"panasonic-evervolt-11","Panasonic","EverVolt 11.4 kWh","battery","equipment-db.ts","no","",""
"sonnen-eco-10","Sonnen","Eco 10","battery","equipment-db.ts","no","",""
"ecoflow-battery-5kwh","EcoFlow","PowerOcean LFP Battery Module (5kWh)","battery","equipment-db.ts","no","",""
"generac-guardian-22kw","Generac","Guardian 22kW","generator","equipment-db.ts","no","","generac"
"generac-guardian-24kw","Generac","Guardian 24kW","generator","equipment-db.ts","no","","generac"
"kohler-20rcal","Kohler","20RCAL","generator","equipment-db.ts","no","",""
"briggs-stratton-20kw","Briggs & Stratton","20kW Home Standby","generator","equipment-db.ts","no","",""
"generac-guardian-18kw","Generac","Guardian 18kW","generator","equipment-db.ts","no","","generac"
"generac-guardian-26kw","Generac","Guardian 26kW","generator","equipment-db.ts","no","","generac"
"kohler-14resal","Kohler","14RESAL","generator","equipment-db.ts","no","",""
"cummins-rs20a","Cummins","RS20A","generator","equipment-db.ts","no","",""
"generac-rxsw200a3","Generac","RXSW200A3","ats","equipment-db.ts","no","","generac"
"generac-rtsw200a3","Generac","RTSW200A3","ats","equipment-db.ts","no","","generac"
"kohler-rdt-200","Kohler","RDT-CFNC-0200B","ats","equipment-db.ts","no","",""
"siemens-tf222r","Siemens","TF222R","ats","equipment-db.ts","no","",""
"enphase-iq-sc3-ats","Enphase","IQ System Controller 3 (ATS)","ats","equipment-db.ts","yes","https://enphase.com/download/iq-system-controller-3m-data-sheet","enphase"
"generac-rxsw100a3","Generac","RXSW100A3","ats","equipment-db.ts","no","","generac"
"kohler-rxt-100","Kohler","RXT-JFNC-0100B","ats","equipment-db.ts","no","",""
"briggs-stratton-ats-200","Briggs & Stratton","200A Automatic Transfer Switch","ats","equipment-db.ts","no","",""
"eaton-cht200","Eaton","CHT200","ats","equipment-db.ts","no","",""
"enphase-iq-system-controller-3","Enphase","IQ System Controller 3","backup_interface","equipment-db.ts","yes","https://enphase.com/download/iq-system-controller-3m-data-sheet","enphase"
"tesla-backup-gateway-2","Tesla","Backup Gateway 2","backup_interface","equipment-db.ts","yes","https://energylibrary.tesla.com/docs/Public/EnergyStorage/Powerwall/2/InstallManual/BackupGateway/2/en-us/GUID-C93D57B7-CA13-4E04-9449-1EAB073A485B.html","tesla"
"generac-pwrmanager","Generac","PWRmanager","backup_interface","equipment-db.ts","no","","generac"
"solaredge-home-hub-7600","SolarEdge","Home Hub SE7600H-US","backup_interface","equipment-db.ts","yes","https://krannich-solar.com/fileadmin/user_upload/US/Datasheets/Inverters/SolarEdge/se-home-hub-inverter-single-phase-inverter-made-in-usa-datasheet-nam.pdf","solaredge"
"solaredge-home-hub-10000","SolarEdge","Home Hub SE10000H-US","backup_interface","equipment-db.ts","yes","https://krannich-solar.com/fileadmin/user_upload/US/Datasheets/Inverters/SolarEdge/se-home-hub-inverter-single-phase-inverter-made-in-usa-datasheet-nam.pdf","solaredge"
"generac-pwrcell-inverter-7600","Generac","PWRcell Inverter 7.6kW","backup_interface","equipment-db.ts","no","","generac"
"enphase-iq-combiner-5","Enphase","IQ Combiner 5","backup_interface","equipment-db.ts","yes","https://enphase.com/download/iq-combiner-5-data-sheet","enphase"
"enphase-iq-gateway","Enphase","IQ Gateway (Envoy)","monitoring_gateway","equipment-db.ts","yes","https://enphase.com/sites/default/files/2021-07/IQ-Envoy-DS-EN-US-06-30-2021.pdf","enphase"
"apsystems-ecu-r","APsystems","ECU-R","monitoring_gateway","equipment-db.ts","yes","https://global.apsystems.com/wp-content/uploads/2022/09/APsystems-Energy-Communication-Unit-ECU-R-datasheet_Rev3.4_2022-08-30.pdf","apsystems"
"hoymiles-dtu-pro-s","Hoymiles","DTU-Pro-S","monitoring_gateway","equipment-db.ts","yes","https://www.solar-electric.com/lib/wind-sun/Hoymiles_Datasheet_DTU-Pro-S.pdf","hoymiles"
"solaredge-monitoring-gateway","SolarEdge","Monitoring Gateway","monitoring_gateway","equipment-db.ts","no","","solaredge"
"tesla-wall-connector-gen3","Tesla","Wall Connector (Gen 3)","ev_charger","equipment-db.ts","yes","https://nwsolar.com/wp-content/uploads/2022/10/Tesla_Wall_Connector_Datasheet_EN-NA.pdf","tesla"
"enphase-iq-ev-charger","Enphase","IQ EV Charger","ev_charger","equipment-db.ts","yes","https://enphase.com/download/iq-ev-charger-2-data-sheet","enphase"
"ironridge-xr100","IronRidge","XR100","roof_residential","mounting-hardware-db.ts","no","",""
"ironridge-xr1000","IronRidge","XR1000","roof_residential","mounting-hardware-db.ts","no","",""
"unirac-solarmount","Unirac","SolarMount Classic","roof_residential","mounting-hardware-db.ts","no","",""
"unirac-sme","Unirac","SME","roof_residential","mounting-hardware-db.ts","no","",""
"rooftech-mini","Roof Tech","RT-MINI","roof_residential","mounting-hardware-db.ts","no","",""
"rooftech-mini-s","Roof Tech","RT-MINI-S","roof_residential","mounting-hardware-db.ts","no","",""
"rooftech-mini-t","Roof Tech","RT-MINI-T","roof_residential","mounting-hardware-db.ts","no","",""
"rooftech-hook","Roof Tech","RT-HOOK","roof_residential","mounting-hardware-db.ts","no","",""
"rooftech-mini-m","Roof Tech","RT-MINI-M (Metal)","roof_residential","mounting-hardware-db.ts","no","",""
"snapnrack-100","SnapNrack","Series 100","roof_residential","mounting-hardware-db.ts","no","",""
"quickmount-classic","QuickMount PV","QM-Classic","roof_residential","mounting-hardware-db.ts","no","",""
"quickmount-tile","QuickMount PV","QM-Tile","roof_residential","mounting-hardware-db.ts","no","",""
"s5-pvkit","S-5!","S-5! PVKit 2.0","roof_residential","mounting-hardware-db.ts","no","",""
"k2-crossrail","K2 Systems","CrossRail Pro","roof_commercial","mounting-hardware-db.ts","no","",""
"ecofasten-rockit","EcoFasten","Rock-It Gen 4","roof_residential","mounting-hardware-db.ts","no","",""
"schletter-classic","Schletter","Schletter Classic Rail","roof_commercial","mounting-hardware-db.ts","no","",""
"sunmodo-ez","SunModo","SunModo EZ","roof_residential","mounting-hardware-db.ts","no","",""
"dpw-powerrail","DPW Solar","Power Rail D-Series","roof_commercial","mounting-hardware-db.ts","no","",""
"panelclaw-polar-bear","PanelClaw","Polar Bear 3","roof_commercial","mounting-hardware-db.ts","no","",""
"gamechange-genius","GameChange Solar","Genius Tracker","ground_mount","mounting-hardware-db.ts","no","",""
"nextracker-nr3","NEXTracker","NX Horizon","ground_mount","mounting-hardware-db.ts","no","",""
"array-tech-duratrack","Array Technologies","DuraTrack HZ v3","ground_mount","mounting-hardware-db.ts","no","",""
"aceclamp-corrugated","AceClamp","AceClamp Corrugated","roof_residential","mounting-hardware-db.ts","no","",""
"ground-dual-post-driven","Generic","Dual-Post Driven Pile","ground_mount","mounting-hardware-db.ts","no","",""
"ground-single-post-helical","Generic","Single-Post Helical Pile","ground_mount","mounting-hardware-db.ts","no","",""
"esdec-flatfix","Esdec","FlatFix Fusion","roof_commercial","mounting-hardware-db.ts","no","",""
"tamarack-utr","Tamarack Solar","UTR-100","roof_residential","mounting-hardware-db.ts","no","",""
"prosolar-toptrack","ProSolar","TopTrack 2.0","roof_residential","mounting-hardware-db.ts","no","",""
"clenergy-ezrack-sb","Clenergy","ezRack SB","roof_residential","mounting-hardware-db.ts","no","",""
"renusol-vs-plus","Renusol","VS+ Rail System","roof_residential","mounting-hardware-db.ts","no","",""
"everest-e-mount-af","Everest Solar Systems","E-Mount AF","roof_residential","mounting-hardware-db.ts","no","",""
"mse-rapid-rail","Mounting Systems (MSE)","MSE Rapid Rail","roof_residential","mounting-hardware-db.ts","no","",""
"unirac-rm10-evo","Unirac","RM10 EVO","roof_commercial","mounting-hardware-db.ts","no","",""
"renusol-console-plus","Renusol","Console+","roof_commercial","mounting-hardware-db.ts","no","",""
"sollega-fc350","Sollega","FastRack FC350","roof_commercial","mounting-hardware-db.ts","no","",""
"ironridge-flat-roof","IronRidge","Flat Roof Racking System","roof_commercial","mounting-hardware-db.ts","no","",""
"terrasmart-glide","TerraSmart","GLIDE Ground Mount","ground_mount","mounting-hardware-db.ts","no","",""
"polar-racking-pr-ground","Polar Racking","PR Ground Mount","ground_mount","mounting-hardware-db.ts","no","",""
"nextracker-nx-horizon","NEXTracker","NX Horizon (2024)","ground_mount","mounting-hardware-db.ts","no","",""
"gamechange-gcx-tracker","GameChange Solar","GCX Single Axis Tracker","ground_mount","mounting-hardware-db.ts","no","",""
"soltec-sf7","Soltec","SF7 Single Axis Tracker","ground_mount","mounting-hardware-db.ts","no","",""
"pvhardware-titan","PV Hardware","Titan Single Axis Tracker","ground_mount","mounting-hardware-db.ts","no","",""
"ironridge-xr100","IronRidge","XR100 Rail System","racking_database","racking-database.ts","yes","https://ironridge.com/roof-mount/xr-rail/",""
"ironridge-xr1000","IronRidge","XR1000 Rail System","racking_database","racking-database.ts","yes","https://ironridge.com/roof-mount/xr-rail/",""
"unirac-solarmount","Unirac","SolarMount","racking_database","racking-database.ts","yes","https://unirac.com/products/solarmount/",""
"unirac-sme","Unirac","SolarMount Evolution (SME)","racking_database","racking-database.ts","yes","https://unirac.com/products/sme/",""
"rooftech-mini","Roof Tech","RT-MINI Rail-Less","racking_database","racking-database.ts","yes","https://www.roof-tech.com/rt-mini",""
"snapnrack-100","SnapNrack","Series 100","racking_database","racking-database.ts","yes","https://snapnrack.com/products/series-100/",""
"quickmount-classic","QuickMount PV","Classic Mount","racking_database","racking-database.ts","yes","https://quickmountpv.com/products/classic-mount/",""
"quickmount-tile","QuickMount PV","Tile Replacement Mount","racking_database","racking-database.ts","yes","https://quickmountpv.com/products/tile-replacement/",""
"s5-pvkit","S-5!","PVKIT 2.0","racking_database","racking-database.ts","yes","https://www.s-5.com/products/pvkit/",""
"k2-crossrail","K2 Systems","CrossRail","racking_database","racking-database.ts","yes","https://www.k2-systems.com/products/crossrail/",""
"ecofasten-rockit","EcoFasten","Rock-It","racking_database","racking-database.ts","yes","https://ecofastensolar.com/products/rock-it/",""
"dpw-powerrail","DPW Solar","Power Rail","racking_database","racking-database.ts","yes","https://dpwsolar.com/products/power-rail/",""
"schletter-classic","Schletter","Classic Roof Mount","racking_database","racking-database.ts","yes","https://www.schletter-group.com/products/",""
"esdec-flatfix","Esdec","FlatFix Fusion","racking_database","racking-database.ts","yes","https://esdec.com/products/flatfix-fusion/",""
"qcells-q-peak-duo-400","Q CELLS","Q.PEAK DUO BLK ML-G10+ 400W","solar_panel","equipment-registry-v4.ts","no","",""
"rec-alpha-pure-r-405","REC Group","REC405AA Pure-R","solar_panel","equipment-registry-v4.ts","no","",""
"silfab-sil-380-bk","Silfab Solar","SIL-380 BK","solar_panel","equipment-registry-v4.ts","no","",""
"panel-fence-ps1","Philadelphia Solar","Nexus PS-MNB108(HCBF)-440W","solar_panel","equipment-registry-v4.ts","no","",""
"fronius-primo-8.2","Fronius","Primo 8.2-1","string_inverter","equipment-registry-v4.ts","no","",""
"sma-sunny-boy-7.7","SMA","Sunny Boy 7.7-US","string_inverter","equipment-registry-v4.ts","no","",""
"sungrow-sg8k-d","Sungrow","SG8K-D","string_inverter","equipment-registry-v4.ts","no","",""
"se-7600h","SolarEdge","SE7600H-US","string_inverter","equipment-registry-v4.ts","no","",""
"se-10000h","SolarEdge","SE10000H-US","string_inverter","equipment-registry-v4.ts","no","",""
"enphase-iq8plus","Enphase","IQ8+ Microinverter","microinverter","equipment-registry-v4.ts","no","",""
"enphase-iq8m","Enphase","IQ8M Microinverter","microinverter","equipment-registry-v4.ts","no","",""
"se-p401","SolarEdge","P401 Power Optimizer","optimizer","equipment-registry-v4.ts","no","",""
"se-p505","SolarEdge","P505 Power Optimizer","optimizer","equipment-registry-v4.ts","no","",""
"tigo-ts4-a-o","Tigo","TS4-A-O Optimizer","optimizer","equipment-registry-v4.ts","no","",""
"rooftech-rt-mini","RoofTech","RT-MINI Rail-Less Mount","racking","equipment-registry-v4.ts","no","",""
"plp-power-peak-driven-pile","PLP (Preformed Line Products)","POWER PEAK Driven Pile System","racking","equipment-registry-v4.ts","no","",""
"ironridge-xr100","IronRidge","XR100 Rail System","racking","equipment-registry-v4.ts","no","",""
"ironridge-xr1000","IronRidge","XR1000 Rail System","racking","equipment-registry-v4.ts","no","",""
"ironridge-gft","IronRidge","GFT Ground Mount","racking","equipment-registry-v4.ts","no","",""
"snapnrack-series-100","SnapNrack","Series 100 Rail System","racking","equipment-registry-v4.ts","no","",""
"snapnrack-ul-series","SnapNrack","Ultra-Light Rail-Less","racking","equipment-registry-v4.ts","no","",""
"unirac-sunframe","Unirac","SunFrame Rail System","racking","equipment-registry-v4.ts","no","",""
"unirac-rm-ballast","Unirac","RM Ballasted Flat Roof","racking","equipment-registry-v4.ts","no","",""
"quickmount-classic","QuickMount PV","Classic Composition Mount","racking","equipment-registry-v4.ts","no","",""
"quickmount-tile-hook","QuickMount PV","Tile Replacement Mount","racking","equipment-registry-v4.ts","no","",""
"ecofasten-rock-it","EcoFasten","Rock-It Rail-Less System","racking","equipment-registry-v4.ts","no","",""
"s5-pvkit-2","S-5!","PVKIT 2.0 Standing Seam","racking","equipment-registry-v4.ts","no","",""
"s5-corrugated","S-5!","S-5! Corrugated Metal Mount","racking","equipment-registry-v4.ts","no","",""
"enphase-iq-battery-5p","Enphase","IQ Battery 5P","battery","equipment-registry-v4.ts","no","",""
"tesla-powerwall-3","Tesla","Powerwall 3","battery","equipment-registry-v4.ts","no","",""
"solaredge-hub-10kw","SolarEdge","Energy Hub 10kW","string_inverter","equipment-registry-v4.ts","no","",""
"ecoflow-power-ocean-5kw","EcoFlow","PowerOcean 5kW Hybrid","string_inverter","equipment-registry-v4.ts","no","",""
"ecoflow-power-ocean-10kw","EcoFlow","PowerOcean 10kW Hybrid","string_inverter","equipment-registry-v4.ts","no","",""
"ecoflow-power-ocean-20kw","EcoFlow","PowerOcean Pro 20kW Hybrid","string_inverter","equipment-registry-v4.ts","no","",""
"ecoflow-battery-5kwh","EcoFlow","PowerOcean LFP Battery Module (5kWh)","battery","equipment-registry-v4.ts","no","",""
"fronius-primo-8.2","Fronius","Primo 8.2-1","string_inverter","equipment-registry.ts","no","",""
"sma-sunny-boy-7.7","SMA","Sunny Boy 7.7-US","string_inverter","equipment-registry.ts","no","",""
"sungrow-sg8k-d","Sungrow","SG8K-D","string_inverter","equipment-registry.ts","no","",""
"se-7600h","SolarEdge","SE7600H-US","string_inverter","equipment-registry.ts","no","",""
"se-10000h","SolarEdge","SE10000H-US","string_inverter","equipment-registry.ts","no","",""
"enphase-iq8plus","Enphase","IQ8+ Microinverter","microinverter","equipment-registry.ts","no","",""
"enphase-iq8m","Enphase","IQ8M Microinverter","microinverter","equipment-registry.ts","no","",""
"apsystems-qs1","APsystems","QS1 Microinverter","microinverter","equipment-registry.ts","no","",""
"hoymiles-hm-600","Hoymiles","HM-600 Microinverter","microinverter","equipment-registry.ts","no","",""
"solaredge-hub-10kw","SolarEdge","Energy Hub 10kW","string_inverter","equipment-registry.ts","no","",""
"enphase-iq8-battery","Enphase","IQ Battery 5P","battery","equipment-registry.ts","no","",""
"se-p401","SolarEdge","P401 Power Optimizer","optimizer","equipment-registry.ts","no","",""
"se-p505","SolarEdge","P505 Power Optimizer","optimizer","equipment-registry.ts","no","",""
"tigo-ts4-a-o","Tigo","TS4-A-O Optimizer","optimizer","equipment-registry.ts","no","",""
"ironridge-xr100","IronRidge","XR100 Rail System","racking","equipment-registry.ts","no","",""
"unirac-sunframe","Unirac","SunFrame Rail System","racking","equipment-registry.ts","no","",""
"ecofasten-rock-it","EcoFasten","Rock-It Rail-Less","racking","equipment-registry.ts","no","",""
"ironridge-gft","IronRidge","GFT Ground Mount","racking","equipment-registry.ts","no","",""
"terrasmart-glide","TerraSmart","GLIDE Ground Mount","racking","equipment-registry.ts","no","",""
"rooftech-mini","Roof Tech","RT-MINI Rail-Less Mount","racking","equipment-registry.ts","no","",""
"acd-square-d-60a","Square D","QO260L200PG (60A)","ac_disconnects","equipment-extras.ts","no","",""
"acd-square-d-100a","Square D","QO2100L200PG (100A)","ac_disconnects","equipment-extras.ts","no","",""
"acd-siemens-60a","Siemens","W0202L1125S (60A)","ac_disconnects","equipment-extras.ts","no","",""
"acd-eaton-60a-fusible","Eaton","DPF222RP (60A Fusible)","ac_disconnects","equipment-extras.ts","no","",""
"acd-eaton-200a-3ph","Eaton","DH365FGK (200A 3-Phase)","ac_disconnects","equipment-extras.ts","no","",""
