jurisdictionId,jurisdictionName,state,rowNecValue,stateTableEdition,skeletonEdition,oldAttribution,actualOrigin,newCanonicalSourceClass,valueChangedByContainment,attributionChangedByContainment,category
"ca-los-angeles-long-beach","City of Long Beach Development Services","CA","2023","2023","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","yes","yes","FALSE_OPERATOR_ATTRIBUTION_VALUE_ALSO_CORRECTED"
"ca-los-angeles-county","LA County Building & Safety","CA","2023","2023","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","yes","yes","FALSE_OPERATOR_ATTRIBUTION_VALUE_ALSO_CORRECTED"
"ca-san-diego-san-diego","City of San Diego Development Services","CA","2023","2023","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","yes","yes","FALSE_OPERATOR_ATTRIBUTION_VALUE_ALSO_CORRECTED"
"ca-san-diego-county","San Diego County Planning & Development","CA","2023","2023","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","yes","yes","FALSE_OPERATOR_ATTRIBUTION_VALUE_ALSO_CORRECTED"
"ca-orange-anaheim","City of Anaheim Planning & Building","CA","2023","2023","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","yes","yes","FALSE_OPERATOR_ATTRIBUTION_VALUE_ALSO_CORRECTED"
"ca-orange-irvine","City of Irvine Community Development","CA","2023","2023","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","yes","yes","FALSE_OPERATOR_ATTRIBUTION_VALUE_ALSO_CORRECTED"
"ca-riverside-riverside","City of Riverside Building & Safety","CA","2023","2023","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","yes","yes","FALSE_OPERATOR_ATTRIBUTION_VALUE_ALSO_CORRECTED"
"ca-sacramento-sacramento","City of Sacramento Community Development","CA","2023","2023","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","yes","yes","FALSE_OPERATOR_ATTRIBUTION_VALUE_ALSO_CORRECTED"
"ca-santa-clara-san-jose","City of San Jose Building Division","CA","2023","2023","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","yes","yes","FALSE_OPERATOR_ATTRIBUTION_VALUE_ALSO_CORRECTED"
"ca-alameda-oakland","City of Oakland Building Services","CA","2023","2023","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","yes","yes","FALSE_OPERATOR_ATTRIBUTION_VALUE_ALSO_CORRECTED"
"ca-fresno-fresno","City of Fresno Development & Resource Management","CA","2023","2023","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","yes","yes","FALSE_OPERATOR_ATTRIBUTION_VALUE_ALSO_CORRECTED"
"co-denver-denver","City & County of Denver Community Planning","CO","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"co-jefferson-lakewood","City of Lakewood Building Division","CO","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"co-boulder-boulder","City of Boulder Building Services","CO","2020","2023","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","yes","yes","FALSE_OPERATOR_ATTRIBUTION_VALUE_ALSO_CORRECTED"
"fl-miami-dade-miami","Miami-Dade County Building Department","FL","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"fl-broward-fort-lauderdale","City of Fort Lauderdale Building Services","FL","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"fl-palm-beach-west-palm-beach","City of West Palm Beach Building","FL","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"fl-hillsborough-tampa","City of Tampa Construction Services","FL","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"fl-orange-orlando","City of Orlando Permitting Services","FL","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"fl-duval-jacksonville","City of Jacksonville Building Inspection Division","FL","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"ga-fulton-atlanta","City of Atlanta Office of Buildings","GA","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"ga-gwinnett-county","Gwinnett County Building & Construction","GA","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"il-cook-chicago","City of Chicago Department of Buildings","IL","2017","2017","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","yes","yes","FALSE_OPERATOR_ATTRIBUTION_VALUE_ALSO_CORRECTED"
"il-cook-county","Cook County Building & Zoning","IL","2017","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"il-madison-granite-city","City of Granite City Building & Zoning","IL","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"il-madison-county","Madison County Building & Zoning","IL","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"il-madison-edwardsville","City of Edwardsville Building Department","IL","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"il-st-clair-belleville","City of Belleville Building & Inspections","IL","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"il-sangamon-springfield","City of Springfield Office of Planning & Economic Development","IL","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"il-winnebago-rockford","City of Rockford Building & Inspections","IL","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"il-kane-aurora","City of Aurora Building Division","IL","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"il-dupage-naperville","City of Naperville Development Services","IL","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"il-state","Illinois Local Building Department","IL","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"nv-clark-las-vegas","City of Las Vegas Building & Safety","NV","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"nv-clark-henderson","City of Henderson Building & Fire Safety","NV","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"nv-clark-north-las-vegas","City of North Las Vegas Building & Code Enforcement","NV","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"nv-washoe-reno","City of Reno Development Services","NV","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"nj-bergen-county","Bergen County Building Department","NJ","2017","2017","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","yes","yes","FALSE_OPERATOR_ATTRIBUTION_VALUE_ALSO_CORRECTED"
"nj-essex-newark","City of Newark Division of Buildings","NJ","2017","2017","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","yes","yes","FALSE_OPERATOR_ATTRIBUTION_VALUE_ALSO_CORRECTED"
"nj-middlesex-county","Middlesex County Construction Office","NJ","2017","2017","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","yes","yes","FALSE_OPERATOR_ATTRIBUTION_VALUE_ALSO_CORRECTED"
"ny-new-york-nyc","NYC Department of Buildings (DOB)","NY","2020","2017","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","yes","yes","FALSE_OPERATOR_ATTRIBUTION_VALUE_ALSO_CORRECTED"
"ny-suffolk-county","Suffolk County Department of Public Works","NY","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"ny-westchester-county","Westchester County Building Department","NY","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"nc-mecklenburg-charlotte","Mecklenburg County Code Enforcement","NC","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"nc-wake-raleigh","City of Raleigh Inspections & Permits","NC","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"tx-harris-houston","City of Houston Permits & Inspections","TX","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"tx-dallas-dallas","City of Dallas Development Services","TX","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"tx-travis-austin","City of Austin Development Services","TX","2020","2023","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","yes","yes","FALSE_OPERATOR_ATTRIBUTION_VALUE_ALSO_CORRECTED"
"tx-bexar-san-antonio","City of San Antonio Development Services","TX","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"tx-tarrant-fort-worth","City of Fort Worth Development Services","TX","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"tx-collin-plano","City of Plano Building Inspections","TX","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"va-fairfax-county","Fairfax County Building Development Division","VA","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"va-arlington-county","Arlington County Building Division","VA","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"va-richmond-richmond","City of Richmond Permits & Inspections","VA","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"wa-king-seattle","City of Seattle Department of Construction & Inspections","WA","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"wa-king-county","King County Department of Local Services","WA","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"wa-pierce-tacoma","City of Tacoma Planning & Development Services","WA","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"ma-suffolk-boston","City of Boston Inspectional Services Department","MA","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"ma-middlesex-cambridge","City of Cambridge Inspectional Services","MA","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"md-prince-georges-county","Prince George's County Department of Permitting, Inspections & Enforcement","MD","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"md-baltimore-baltimore","Baltimore City Department of Housing & Community Development","MD","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"mn-ramsey-saint-paul","City of Saint Paul Department of Safety & Inspections","MN","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"or-multnomah-portland","City of Portland Bureau of Development Services","OR","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"or-washington-hillsboro","City of Hillsboro Building Division","OR","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"sc-charleston-charleston","City of Charleston Building Inspection Services","SC","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"sc-richland-columbia","City of Columbia Building Permits","SC","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"ut-salt-lake-salt-lake-city","Salt Lake City Building Services","UT","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"ut-utah-provo","City of Provo Building Division","UT","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"hi-honolulu-honolulu","City & County of Honolulu Department of Planning & Permitting","HI","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"hi-maui-kahului","County of Maui Department of Public Works","HI","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"hi-hawaii-hilo","County of Hawaii Department of Public Works","HI","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"id-ada-boise","City of Boise Planning & Development Services","ID","2020","2017","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","yes","yes","FALSE_OPERATOR_ATTRIBUTION_VALUE_ALSO_CORRECTED"
"id-bonneville-idaho-falls","City of Idaho Falls Building Division","ID","2020","2017","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","yes","yes","FALSE_OPERATOR_ATTRIBUTION_VALUE_ALSO_CORRECTED"
"id-canyon-nampa","City of Nampa Building Services","ID","2020","2017","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","yes","yes","FALSE_OPERATOR_ATTRIBUTION_VALUE_ALSO_CORRECTED"
"nm-bernalillo-albuquerque","City of Albuquerque Planning Department","NM","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"nm-santa-fe-santa-fe","City of Santa Fe Building Division","NM","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"nm-dona-ana-las-cruces","City of Las Cruces Planning & Community Development","NM","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"la-orleans-new-orleans","City of New Orleans Department of Safety & Permits","LA","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"la-east-baton-rouge-baton-rouge","City-Parish of Baton Rouge Building Codes","LA","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"ky-jefferson-louisville","Louisville Metro Inspections, Permits & Licenses","KY","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"wi-milwaukee-milwaukee","City of Milwaukee Department of Neighborhood Services","WI","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"wi-dane-madison","City of Madison Building Inspection","WI","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"mo-st-louis-st-louis","City of St. Louis Building Division","MO","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"ks-sedgwick-wichita","City of Wichita Building Inspection","KS","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"ok-oklahoma-oklahoma-city","City of Oklahoma City Development Services","OK","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"ok-tulsa-tulsa","City of Tulsa Development Services","OK","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"ar-pulaski-little-rock","City of Little Rock Building Permits","AR","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"ms-hinds-jackson","City of Jackson Building Permits","MS","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"ia-polk-des-moines","City of Des Moines Permit & Development Center","IA","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"ne-douglas-omaha","City of Omaha Building Permits","NE","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"sd-minnehaha-sioux-falls","City of Sioux Falls Building Services","SD","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"nd-cass-fargo","City of Fargo Building Inspections","ND","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
