id,state,name,necVersion,hasIdentity,permitAuthority,why
"ca-san-diego-county","CA","San Diego County Planning & Development","2023","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ca-orange-anaheim","CA","City of Anaheim Planning & Building","2023","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ca-orange-irvine","CA","City of Irvine Community Development","2023","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ca-riverside-riverside","CA","City of Riverside Building & Safety","2023","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ca-sacramento-sacramento","CA","City of Sacramento Community Development","2023","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ca-santa-clara-san-jose","CA","City of San Jose Building Division","2023","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ca-alameda-oakland","CA","City of Oakland Building Services","2023","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ca-fresno-fresno","CA","City of Fresno Development & Resource Management","2023","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"co-denver-denver","CO","City & County of Denver Community Planning","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"co-jefferson-lakewood","CO","City of Lakewood Building Division","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"co-boulder-boulder","CO","City of Boulder Building Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"fl-miami-dade-miami","FL","Miami-Dade County Building Department","2020","false","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"fl-broward-fort-lauderdale","FL","City of Fort Lauderdale Building Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"fl-palm-beach-west-palm-beach","FL","City of West Palm Beach Building","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"fl-hillsborough-tampa","FL","City of Tampa Construction Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"fl-orange-orlando","FL","City of Orlando Permitting Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"fl-duval-jacksonville","FL","City of Jacksonville Building Inspection Division","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ga-fulton-atlanta","GA","City of Atlanta Office of Buildings","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ga-gwinnett-county","GA","Gwinnett County Building & Construction","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"il-cook-chicago","IL","City of Chicago Department of Buildings","2017","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"il-cook-county","IL","Cook County Building & Zoning","2017","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"il-madison-granite-city","IL","City of Granite City Building & Zoning","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"il-madison-county","IL","Madison County Building & Zoning","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"il-madison-edwardsville","IL","City of Edwardsville Building Department","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"il-st-clair-belleville","IL","City of Belleville Building & Inspections","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"il-sangamon-springfield","IL","City of Springfield Office of Planning & Economic Development","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"il-winnebago-rockford","IL","City of Rockford Building & Inspections","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"il-kane-aurora","IL","City of Aurora Building Division","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"il-dupage-naperville","IL","City of Naperville Development Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"il-state","IL","Illinois Local Building Department","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"nv-clark-las-vegas","NV","City of Las Vegas Building & Safety","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"nv-clark-henderson","NV","City of Henderson Building & Fire Safety","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"nv-clark-north-las-vegas","NV","City of North Las Vegas Building & Code Enforcement","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"nv-washoe-reno","NV","City of Reno Development Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"nj-bergen-county","NJ","Bergen County Building Department","2017","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"nj-essex-newark","NJ","City of Newark Division of Buildings","2017","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"nj-middlesex-county","NJ","Middlesex County Construction Office","2017","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ny-new-york-nyc","NY","NYC Department of Buildings (DOB)","2020","false","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ny-suffolk-county","NY","Suffolk County Department of Public Works","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ny-westchester-county","NY","Westchester County Building Department","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"nc-mecklenburg-charlotte","NC","Mecklenburg County Code Enforcement","2020","false","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"nc-wake-raleigh","NC","City of Raleigh Inspections & Permits","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"tx-harris-houston","TX","City of Houston Permits & Inspections","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"tx-dallas-dallas","TX","City of Dallas Development Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"tx-travis-austin","TX","City of Austin Development Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"tx-bexar-san-antonio","TX","City of San Antonio Development Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"tx-tarrant-fort-worth","TX","City of Fort Worth Development Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"tx-collin-plano","TX","City of Plano Building Inspections","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"va-fairfax-county","VA","Fairfax County Building Development Division","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"va-arlington-county","VA","Arlington County Building Division","2020","false","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"va-richmond-richmond","VA","City of Richmond Permits & Inspections","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"wa-king-seattle","WA","City of Seattle Department of Construction & Inspections","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"wa-king-county","WA","King County Department of Local Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"wa-pierce-tacoma","WA","City of Tacoma Planning & Development Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ma-suffolk-boston","MA","City of Boston Inspectional Services Department","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ma-middlesex-cambridge","MA","City of Cambridge Inspectional Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"md-prince-georges-county","MD","Prince George's County Department of Permitting, Inspections & Enforcement","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"md-baltimore-baltimore","MD","Baltimore City Department of Housing & Community Development","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"mn-ramsey-saint-paul","MN","City of Saint Paul Department of Safety & Inspections","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"or-multnomah-portland","OR","City of Portland Bureau of Development Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"or-washington-hillsboro","OR","City of Hillsboro Building Division","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"sc-charleston-charleston","SC","City of Charleston Building Inspection Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"sc-richland-columbia","SC","City of Columbia Building Permits","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ut-salt-lake-salt-lake-city","UT","Salt Lake City Building Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ut-utah-provo","UT","City of Provo Building Division","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"hi-honolulu-honolulu","HI","City & County of Honolulu Department of Planning & Permitting","2020","false","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"hi-maui-kahului","HI","County of Maui Department of Public Works","2020","false","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"hi-hawaii-hilo","HI","County of Hawaii Department of Public Works","2020","false","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"id-ada-boise","ID","City of Boise Planning & Development Services","2020","false","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"id-bonneville-idaho-falls","ID","City of Idaho Falls Building Division","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"id-canyon-nampa","ID","City of Nampa Building Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"nm-bernalillo-albuquerque","NM","City of Albuquerque Planning Department","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"nm-santa-fe-santa-fe","NM","City of Santa Fe Building Division","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"nm-dona-ana-las-cruces","NM","City of Las Cruces Planning & Community Development","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"la-orleans-new-orleans","LA","City of New Orleans Department of Safety & Permits","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"la-east-baton-rouge-baton-rouge","LA","City-Parish of Baton Rouge Building Codes","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ky-jefferson-louisville","KY","Louisville Metro Inspections, Permits & Licenses","2020","false","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"wi-milwaukee-milwaukee","WI","City of Milwaukee Department of Neighborhood Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"wi-dane-madison","WI","City of Madison Building Inspection","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"mo-st-louis-st-louis","MO","City of St. Louis Building Division","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ks-sedgwick-wichita","KS","City of Wichita Building Inspection","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ok-oklahoma-oklahoma-city","OK","City of Oklahoma City Development Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ok-tulsa-tulsa","OK","City of Tulsa Development Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ar-pulaski-little-rock","AR","City of Little Rock Building Permits","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ms-hinds-jackson","MS","City of Jackson Building Permits","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ia-polk-des-moines","IA","City of Des Moines Permit & Development Center","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ne-douglas-omaha","NE","City of Omaha Building Permits","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"sd-minnehaha-sioux-falls","SD","City of Sioux Falls Building Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"nd-cass-fargo","ND","City of Fargo Building Inspections","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"mt-yellowstone-billings","MT","City of Billings Building Division","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"wy-laramie-cheyenne","WY","City of Cheyenne Building Division","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ak-anchorage-anchorage","AK","Municipality of Anchorage Development Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ri-providence-providence","RI","City of Providence Inspection & Standards","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"nh-hillsborough-manchester","NH","City of Manchester Building Department","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"vt-chittenden-burlington","VT","City of Burlington Code Enforcement","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"me-cumberland-portland","ME","City of Portland Inspections Division","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"de-new-castle-wilmington","DE","City of Wilmington License & Inspections","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"wv-kanawha-charleston","WV","City of Charleston Building Permits","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"dc-dc-washington","DC","DC Department of Buildings","2020","false","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ca-san-bernardino-san-bernardino","CA","City of San Bernardino Development Services","2023","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ca-san-bernardino-county","CA","San Bernardino County Building & Safety","2023","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ca-riverside-county","CA","Riverside County Building & Safety","2023","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ca-kern-bakersfield","CA","City of Bakersfield Building Division","2023","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ca-san-joaquin-stockton","CA","City of Stockton Community Development","2023","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ca-stanislaus-modesto","CA","City of Modesto Development Services","2023","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ca-san-diego-chula-vista","CA","City of Chula Vista Development Services","2023","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ca-contra-costa-county","CA","Contra Costa County Building Inspection Division","2023","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ca-ventura-county","CA","Ventura County Building & Safety","2023","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"tx-collin-mckinney","TX","City of McKinney Development Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"tx-denton-county","TX","Denton County Development Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"tx-travis-round-rock","TX","City of Round Rock Building and Development Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"tx-el-paso-el-paso","TX","City of El Paso Development Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"tx-nueces-corpus-christi","TX","City of Corpus Christi Development Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"fl-pinellas-st-pete","FL","City of St. Petersburg Building & Development Review Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"fl-pinellas-clearwater","FL","City of Clearwater Planning & Development","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"fl-miami-dade-county","FL","Miami-Dade County Regulatory and Economic Resources","2020","false","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"fl-broward-pembroke-pines","FL","City of Pembroke Pines Building Division","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"fl-lee-cape-coral","FL","City of Cape Coral Building Division","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"fl-volusia-daytona-beach","FL","City of Daytona Beach Building Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"fl-seminole-county","FL","Seminole County Building Division","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"nc-guilford-greensboro","NC","City of Greensboro Inspections Division","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"nc-forsyth-winston-salem","NC","City of Winston-Salem Inspections Division","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"nc-durham-durham","NC","City of Durham Inspections","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"nc-buncombe-asheville","NC","City of Asheville Development Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ga-dekalb-county","GA","DeKalb County Planning & Sustainability","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ga-cobb-county","GA","Cobb County Community Development Agency","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ga-chatham-savannah","GA","City of Savannah Building Safety & Regulatory Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ga-richmond-augusta","GA","Augusta-Richmond County Planning & Development","2020","false","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"sc-greenville-greenville","SC","City of Greenville Building Safety Division","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"sc-horry-myrtle-beach","SC","City of Myrtle Beach Building Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"nj-hudson-jersey-city","NJ","Jersey City Division of Building","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"nj-monmouth-county","NJ","Monmouth County Division of Engineering","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"nj-ocean-county","NJ","Ocean County Department of Planning","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"nj-camden-county","NJ","Camden County Board of Commissioners","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ny-erie-buffalo","NY","City of Buffalo Permit & Inspection Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ny-nassau-county","NY","Nassau County Office of Consumer Affairs / Local municipalities","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ny-albany-albany","NY","City of Albany Department of Buildings & Regulatory Compliance","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ny-monroe-rochester","NY","City of Rochester Bureau of Buildings","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"mi-wayne-detroit","MI","Detroit Buildings Safety & Engineering","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"mi-kent-grand-rapids","MI","City of Grand Rapids Inspections Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"oh-franklin-columbus","OH","Columbus Building & Zoning Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"oh-cuyahoga-cleveland","OH","City of Cleveland Building & Housing","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"pa-philadelphia-philadelphia","PA","City of Philadelphia Department of Licenses & Inspections","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"pa-allegheny-pittsburgh","PA","City of Pittsburgh Permits, Licenses & Inspections","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"mn-hennepin-minneapolis","MN","City of Minneapolis Community Planning & Economic Development","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"va-virginia-beach-city","VA","City of Virginia Beach Department of Planning & Community Development","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"va-chesterfield-county","VA","Chesterfield County Building Inspections","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"co-el-paso-colorado-springs","CO","City of Colorado Springs Permits & Inspections","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"co-arapahoe-aurora","CO","City of Aurora Building Division","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"co-jefferson-county","CO","Jefferson County Building Safety","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"md-montgomery-county","MD","Montgomery County Department of Permitting Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"md-anne-arundel-county","MD","Anne Arundel County Inspections & Permits","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ma-worcester-worcester","MA","City of Worcester Building Division","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ma-essex-lowell","MA","City of Lowell Inspectional Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ct-fairfield-bridgeport","CT","City of Bridgeport Department of Planning & Economic Development","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ct-hartford-hartford","CT","City of Hartford Licenses & Inspections","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"tn-davidson-nashville","TN","Metro Nashville-Davidson County Codes Administration","2020","false","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"tn-shelby-memphis","TN","City of Memphis Division of Housing & Community Development","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"in-marion-indianapolis","IN","City of Indianapolis Division of Planning","2020","false","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"mo-jackson-kansas-city","MO","City of Kansas City Development Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ak-aleutians-east-aleutians-east-county","AK","Aleutians East County Building Department","2017","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ak-aleutians-west-aleutians-west-county","AK","Aleutians West County Building Department","2017","false","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ak-anchorage-anchorage-county","AK","Anchorage County Building Department","2017","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ak-bethel-bethel-county","AK","Bethel County Building Department","2017","false","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ak-bristol-bay-bristol-bay-county","AK","Bristol Bay County Building Department","2017","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
