jurisdictionId,state,name,ahjNational,necVersions,jurisdictionTs,distinctValues,whichShips
"ak-ketchikan-gateway-ketchikan-gateway-county","AK","Ketchikan Gateway County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-kodiak-island-kodiak-island-county","AK","Kodiak Island County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-lake-and-peninsula-lake-and-peninsula-county","AK","Lake and Peninsula County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-matanuska-susitna-matanuska-susitna-county","AK","Matanuska-Susitna County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-matanuska-susitna-wasilla","AK","City of Wasilla Building Dept","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-nome-nome-county","AK","Nome County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-north-slope-north-slope-county","AK","North Slope County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-northwest-arctic-northwest-arctic-county","AK","Northwest Arctic County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-petersburg-petersburg-county","AK","Petersburg County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-prince-of-wales-hyder-prince-of-wales-hyder-county","AK","Prince of Wales-Hyder County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-sitka-sitka","AK","City & Borough of Sitka Building Dept","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-sitka-sitka-county","AK","Sitka County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-skagway-skagway-county","AK","Skagway County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-southeast-fairbanks-southeast-fairbanks-county","AK","Southeast Fairbanks County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-valdez-cordova-valdez-cordova-county","AK","Valdez-Cordova County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-wrangell-wrangell-county","AK","Wrangell County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-yakutat-yakutat-county","AK","Yakutat County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-yukon-koyukuk-yukon-koyukuk-county","AK","Yukon-Koyukuk County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-autauga-prattville","AL","City of Prattville Building Dept","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-autauga-autauga-county","AL","Autauga County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-baldwin-baldwin-county","AL","Baldwin County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-barbour-barbour-county","AL","Barbour County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-bibb-bibb-county","AL","Bibb County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-blount-blount-county","AL","Blount County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-bullock-bullock-county","AL","Bullock County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-butler-butler-county","AL","Butler County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-calhoun-calhoun-county","AL","Calhoun County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-chambers-chambers-county","AL","Chambers County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-cherokee-cherokee-county","AL","Cherokee County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-chilton-chilton-county","AL","Chilton County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-choctaw-choctaw-county","AL","Choctaw County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-clarke-clarke-county","AL","Clarke County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-clay-clay-county","AL","Clay County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-cleburne-cleburne-county","AL","Cleburne County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-coffee-coffee-county","AL","Coffee County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-colbert-colbert-county","AL","Colbert County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-conecuh-conecuh-county","AL","Conecuh County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-coosa-coosa-county","AL","Coosa County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-covington-covington-county","AL","Covington County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-crenshaw-crenshaw-county","AL","Crenshaw County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-cullman-cullman-county","AL","Cullman County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-dale-dale-county","AL","Dale County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-dallas-dallas-county","AL","Dallas County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-dekalb-dekalb-county","AL","DeKalb County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-elmore-elmore-county","AL","Elmore County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-escambia-escambia-county","AL","Escambia County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-etowah-gadsden","AL","City of Gadsden Building Dept","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-etowah-etowah-county","AL","Etowah County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-fayette-fayette-county","AL","Fayette County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-franklin-franklin-county","AL","Franklin County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-geneva-geneva-county","AL","Geneva County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-greene-greene-county","AL","Greene County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-hale-hale-county","AL","Hale County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-henry-henry-county","AL","Henry County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-houston-dothan","AL","City of Dothan Building Dept","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-houston-houston-county","AL","Houston County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-jackson-jackson-county","AL","Jackson County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-jefferson-hoover","AL","City of Hoover Building Dept","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-jefferson-jefferson-county","AL","Jefferson County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-jefferson-vestavia-hills","AL","City of Vestavia Hills Building Dept","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-jeffersonshelby-hoover","AL","City of Hoover Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-lamar-lamar-county","AL","Lamar County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-lauderdale-florence","AL","City of Florence Building Dept","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-lauderdale-lauderdale-county","AL","Lauderdale County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-lawrence-lawrence-county","AL","Lawrence County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-lee-auburn","AL","City of Auburn Building Dept","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-lee-opelika","AL","City of Opelika Building Dept","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-lee-lee-county","AL","Lee County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-limestone-limestone-county","AL","Limestone County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-lowndes-lowndes-county","AL","Lowndes County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-macon-macon-county","AL","Macon County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-madison-madison","AL","City of Madison Building Dept","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-madison-madison-county","AL","Madison County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-marengo-marengo-county","AL","Marengo County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-marion-marion-county","AL","Marion County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-marshall-marshall-county","AL","Marshall County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-mobile-mobile-county","AL","Mobile County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-monroe-monroe-county","AL","Monroe County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-montgomery-montgomery","AL","City of Montgomery Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-montgomery-montgomery-county","AL","Montgomery County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-morgan-decatur","AL","City of Decatur Building Dept","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-morgan-morgan-county","AL","Morgan County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-perry-perry-county","AL","Perry County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-pickens-pickens-county","AL","Pickens County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-pike-pike-county","AL","Pike County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-randolph-randolph-county","AL","Randolph County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-russell-phenix-city","AL","City of Phenix City Building Dept","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-russell-russell-county","AL","Russell County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-shelby-alabaster","AL","City of Alabaster Building Dept","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-shelby-shelby-county","AL","Shelby County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-st-clair-st-clair-county","AL","St. Clair County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-sumter-sumter-county","AL","Sumter County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-talladega-talladega-county","AL","Talladega County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-tallapoosa-tallapoosa-county","AL","Tallapoosa County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-tuscaloosa-tuscaloosa","AL","City of Tuscaloosa Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-tuscaloosa-tuscaloosa-county","AL","Tuscaloosa County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-walker-walker-county","AL","Walker County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-washington-washington-county","AL","Washington County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-wilcox-wilcox-county","AL","Wilcox County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"al-winston-winston-county","AL","Winston County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-arkansas-arkansas-county","AR","Arkansas County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-ashley-ashley-county","AR","Ashley County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-baxter-baxter-county","AR","Baxter County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-benton-bentonville","AR","City of Bentonville Building Dept","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-benton-rogers","AR","City of Rogers Building Dept","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-benton-benton-county","AR","Benton County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-boone-boone-county","AR","Boone County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-bradley-bradley-county","AR","Bradley County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-calhoun-calhoun-county","AR","Calhoun County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-carroll-carroll-county","AR","Carroll County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-chicot-chicot-county","AR","Chicot County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-clark-clark-county","AR","Clark County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-clay-clay-county","AR","Clay County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-cleburne-cleburne-county","AR","Cleburne County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-cleveland-cleveland-county","AR","Cleveland County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-columbia-columbia-county","AR","Columbia County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-conway-conway-county","AR","Conway County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-craighead-jonesboro","AR","City of Jonesboro Building Dept","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-craighead-craighead-county","AR","Craighead County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-crawford-crawford-county","AR","Crawford County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-crittenden-crittenden-county","AR","Crittenden County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-cross-cross-county","AR","Cross County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-dallas-dallas-county","AR","Dallas County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-desha-desha-county","AR","Desha County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-drew-drew-county","AR","Drew County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-faulkner-conway","AR","City of Conway Building Dept","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-faulkner-faulkner-county","AR","Faulkner County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-franklin-franklin-county","AR","Franklin County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-fulton-fulton-county","AR","Fulton County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-garland-hot-springs","AR","City of Hot Springs Building Dept","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-garland-garland-county","AR","Garland County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-grant-grant-county","AR","Grant County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-greene-greene-county","AR","Greene County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-hempstead-hempstead-county","AR","Hempstead County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-hot-spring-hot-spring-county","AR","Hot Spring County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-howard-howard-county","AR","Howard County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-independence-independence-county","AR","Independence County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-izard-izard-county","AR","Izard County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-jackson-jackson-county","AR","Jackson County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-jefferson-pine-bluff","AR","City of Pine Bluff Building Dept","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-jefferson-jefferson-county","AR","Jefferson County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-johnson-johnson-county","AR","Johnson County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-lafayette-lafayette-county","AR","Lafayette County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-lawrence-lawrence-county","AR","Lawrence County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-lee-lee-county","AR","Lee County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-lincoln-lincoln-county","AR","Lincoln County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-little-river-little-river-county","AR","Little River County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-logan-logan-county","AR","Logan County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-lonoke-lonoke-county","AR","Lonoke County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-madison-madison-county","AR","Madison County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-marion-marion-county","AR","Marion County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-miller-texarkana","AR","City of Texarkana Building Dept","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-miller-miller-county","AR","Miller County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-mississippi-mississippi-county","AR","Mississippi County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-monroe-monroe-county","AR","Monroe County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-montgomery-montgomery-county","AR","Montgomery County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-nevada-nevada-county","AR","Nevada County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-newton-newton-county","AR","Newton County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ar-ouachita-ouachita-county","AR","Ouachita County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
